,Lat_long,Most_common_sqft_binned,Most_common_hvac_heating_fuel_new,Most_common_heating_setpoint,Most_common_in.vintage,Most_common_in.occupants,Most_common_in.geometry_building_type_height,Most_common_electric_water_heater,Most_common_clothes_washer_usage_new,Most_common_cooling_setpoint,Most_common_Lighting_new,Most_common_hvac_cooling_eff_new,Most_common_in.hvac_has_ducts
586,"(41.983, -95.383)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,No
587,"(42.05, -102.8)",1000-1499,Non-electric,70,1960s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
588,"(42.05, -94.78)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
589,"(42.05, -93.85)",2500-3499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
590,"(42.08, -80.18)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
591,"(42.13, -86.43)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
592,"(42.15, -112.283)",2500-3499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
593,"(42.15, -79.27)",1500-1999,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
594,"(42.17, -120.4)",1000-1499,Non-electric,70,1940s,1,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
595,"(42.17, -76.9)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
596,"(42.18, -71.18)",2500-3499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
597,"(42.19, -122.7)",1000-1499,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
598,"(42.2, -89.1)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
599,"(42.2, -75.98)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
600,"(42.2, -72.533)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
601,"(42.217, -83.75)",2500-3499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
602,"(42.22, -121.74)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
603,"(42.22, -83.35)",1000-1499,Non-electric,68,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
604,"(42.23, -85.55)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
605,"(42.23, -83.53)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
606,"(42.233, -91.167)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
607,"(42.267, -71.883)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
608,"(42.27, -84.47)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
609,"(42.27, -71.88)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
610,"(42.3, -85.25)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
611,"(42.37, -71.02)",2500-3499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
612,"(42.38, -96.38)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
613,"(42.4, -90.7)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
614,"(42.417, -87.867)",2500-3499,Non-electric,68,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
615,"(42.43, -93.87)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
616,"(42.47, -98.68)",<1000,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
617,"(42.53, -113.77)",1000-1499,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,low,72,LED_CFL,avg,Yes
618,"(42.55, -114.35)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
619,"(42.55, -94.18)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
620,"(42.55, -92.4)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
621,"(42.58, -100.0)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
622,"(42.583, -70.917)",2500-3499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
623,"(42.6, -123.37)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
624,"(42.6, -95.23)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
625,"(42.617, -89.033)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
626,"(42.62, -82.83)",1000-1499,Non-electric,68,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
627,"(42.63, -83.98)",1500-1999,Non-electric,70,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
628,"(42.65, -111.583)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,high,72,LED_CFL,avg,Yes
629,"(42.67, -83.42)",2500-3499,Non-electric,68,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
630,"(42.683, -91.967)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
631,"(42.7, -73.167)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
632,"(42.72, -71.12)",2500-3499,Non-electric,68,1980s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
633,"(42.75, -73.8)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
634,"(42.78, -84.58)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
635,"(42.783, -96.2)",2500-3499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
