,Lat_long,Most_common_sqft_binned,Most_common_hvac_heating_fuel_new,Most_common_heating_setpoint,Most_common_in.vintage,Most_common_in.occupants,Most_common_in.geometry_building_type_height,Most_common_electric_water_heater,Most_common_clothes_washer_usage_new,Most_common_cooling_setpoint,Most_common_Lighting_new,Most_common_hvac_cooling_eff_new,Most_common_in.hvac_has_ducts
710,"(44.25, -121.17)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
711,"(44.25, -121.167)",1000-1499,Non-electric,70,1990s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
712,"(44.25, -88.52)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
713,"(44.27, -86.25)",1000-1499,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
714,"(44.28, -85.42)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
715,"(44.3, -96.82)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
716,"(44.32, -94.5)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
717,"(44.32, -69.8)",2000-2499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
718,"(44.33, -93.32)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
719,"(44.35, -105.53)",1000-1499,Non-electric,70,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
720,"(44.37, -84.68)",1000-1499,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
721,"(44.38, -100.28)",1000-1499,Non-electric,68,<1940,1,Single-Family Detached,Electric Standard,avg,72,Incandescent,avg,Yes
722,"(44.383, -74.2)",2500-3499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
723,"(44.4, -98.22)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
724,"(44.45, -95.82)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
725,"(44.45, -83.4)",1500-1999,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
726,"(44.45, -68.37)",2000-2499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
727,"(44.47, -73.15)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
728,"(44.48, -123.28)",1500-1999,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
729,"(44.48, -88.13)",1000-1499,Non-electric,68,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
730,"(44.52, -109.02)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
731,"(44.53, -69.68)",2000-2499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
732,"(44.55, -95.08)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
733,"(44.58, -92.48)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
734,"(44.58, -71.18)",2500-3499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
735,"(44.63, -90.18)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
736,"(44.73, -85.58)",1500-1999,Non-electric,55,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
737,"(44.77, -106.97)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
738,"(44.78, -89.67)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
739,"(44.8, -68.82)",2000-2499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
740,"(44.8, -68.817)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
741,"(44.82, -93.45)",2500-3499,Non-electric,68,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
742,"(44.83, -117.82)",1000-1499,Non-electric,68,1990s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
743,"(44.85, -93.15)",2500-3499,Non-electric,68,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
744,"(44.85, -87.42)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
745,"(44.87, -94.38)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
746,"(44.87, -91.48)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
747,"(44.9, -123.0)",1500-1999,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
748,"(44.92, -89.63)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
749,"(44.93, -97.15)",2000-2499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
750,"(44.93, -93.05)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
751,"(44.93, -74.85)",2000-2499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
752,"(45.07, -93.35)",2500-3499,Non-electric,68,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
753,"(45.07, -83.58)",1500-1999,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
754,"(45.1, -94.5)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,Incandescent,avg,Yes
755,"(45.12, -113.88)",1000-1499,Non-electric,55,1970s,2,Single-Family Detached,Electric Standard,avg,68,LED_CFL,avg,Yes
756,"(45.12, -95.08)",1500-1999,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
757,"(45.13, -87.63)",1500-1999,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
758,"(45.25, -122.77)",1500-1999,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
759,"(45.28, -118.0)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
760,"(45.32, -95.65)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
761,"(45.45, -98.42)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,Incandescent,avg,Yes
762,"(45.48, -91.72)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
763,"(45.53, -122.95)",1500-1999,Non-electric,68,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
764,"(45.53, -100.43)",2500-3499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,Incandescent,avg,Yes
765,"(45.55, -94.05)",2500-3499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
766,"(45.57, -95.97)",2500-3499,Non-electric,55,1950s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
767,"(45.57, -93.27)",2000-2499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
768,"(45.57, -84.78)",1000-1499,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
769,"(45.6, -122.62)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
770,"(45.617, -121.15)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Electric Standard,avg,75,LED_CFL,avg,Yes
771,"(45.633, -89.467)",1500-1999,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
772,"(45.65, -95.32)",2500-3499,Non-electric,55,1940s,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
773,"(45.7, -118.83)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
774,"(45.7, -110.45)",1000-1499,Non-electric,70,1990s,1,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
775,"(45.7, -96.5)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
776,"(45.7, -90.4)",1500-1999,Non-electric,55,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
777,"(45.75, -87.03)",1500-1999,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
778,"(45.8, -111.15)",2000-2499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
779,"(45.8, -108.55)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
780,"(45.82, -88.12)",1500-1999,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,68,LED_CFL,avg,Yes
781,"(45.88, -95.4)",1500-1999,Non-electric,55,<1940,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
782,"(45.88, -93.27)",2500-3499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
783,"(45.933, -89.733)",1000-1499,Non-electric,55,1980s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
784,"(45.95, -112.5)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
785,"(45.95, -94.35)",2500-3499,Non-electric,55,2000s,2,Single-Family Detached,Non-electric Water Heater,high,72,LED_CFL,avg,Yes
786,"(46.1, -118.28)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
787,"(46.13, -122.9)",1000-1499,Electric-resistance,70,<1940,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,No
788,"(46.15, -123.88)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
789,"(46.25, -84.47)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
790,"(46.27, -119.12)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
791,"(46.27, -92.57)",1000-1499,Non-electric,55,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
792,"(46.28, -96.15)",2500-3499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,68,LED_CFL,avg,Yes
793,"(46.37, -117.02)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
794,"(46.4, -94.13)",1000-1499,Non-electric,55,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
795,"(46.43, -105.88)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,high,70,LED_CFL,avg,Yes
796,"(46.47, -84.35)",1000-1499,Non-electric,55,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
797,"(46.483, -122.8)",1500-1999,Electric-resistance,68,<1940,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
798,"(46.53, -90.13)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
799,"(46.55, -93.68)",2500-3499,Non-electric,55,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
800,"(46.57, -120.55)",1000-1499,Electric-resistance,70,1950s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
801,"(46.6, -111.97)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
802,"(46.68, -68.05)",2000-2499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
803,"(46.7, -92.5)",1000-1499,Non-electric,55,2000s,2,Single-Family Detached,Electric Standard,avg,68,LED_CFL,avg,Yes
804,"(46.75, -117.12)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
805,"(46.77, -100.77)",2500-3499,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
806,"(46.8, -102.8)",1500-1999,Non-electric,68,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
807,"(46.83, -95.88)",1000-1499,Non-electric,70,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
808,"(46.83, -92.22)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,68,LED_CFL,avg,Yes
809,"(46.9, -95.07)",1000-1499,Non-electric,55,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
810,"(46.92, -114.1)",1000-1499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
811,"(46.92, -98.68)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Electric Standard,avg,68,Incandescent,avg,Yes
812,"(46.93, -96.82)",2500-3499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
813,"(46.97, -122.9)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
814,"(46.98, -123.93)",1000-1499,Electric-resistance,70,<1940,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
815,"(47.05, -109.45)",1500-1999,Non-electric,55,1950s,2,Single-Family Detached,Non-electric Water Heater,high,75,LED_CFL,avg,Yes
816,"(47.13, -104.8)",1000-1499,Non-electric,67,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
817,"(47.15, -122.48)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
818,"(47.17, -88.5)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
819,"(47.2, -119.317)",1500-1999,Electric-resistance,70,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
820,"(47.2, -91.4)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Electric Standard,avg,68,LED_CFL,avg,Yes
821,"(47.22, -93.52)",1000-1499,Non-electric,55,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,68,LED_CFL,avg,Yes
822,"(47.3, -119.52)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
823,"(47.4, -120.2)",1500-1999,Electric-resistance,70,1990s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,high,Yes
824,"(47.47, -111.38)",1000-1499,Non-electric,68,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
825,"(47.48, -122.75)",1500-1999,Non-electric,68,1990s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
826,"(47.491, -122.216)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
827,"(47.5, -94.93)",1000-1499,Non-electric,55,2000s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
828,"(47.58, -95.77)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,low,70,LED_CFL,avg,Yes
829,"(47.63, -117.65)",1000-1499,Non-electric,55,1990s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
830,"(47.68, -117.32)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
831,"(47.7, -104.2)",1000-1499,Non-electric,65,1960s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
832,"(47.77, -116.82)",1500-1999,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
833,"(47.85, -96.62)",2500-3499,Non-electric,70,1950s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
834,"(47.9, -122.28)",1500-1999,Non-electric,70,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
835,"(47.95, -97.183)",2500-3499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,low,68,LED_CFL,avg,Yes
836,"(47.95, -97.18)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
837,"(47.97, -97.4)",2500-3499,Non-electric,70,<1940,4,Single-Family Detached,Electric Standard,avg,68,LED_CFL,avg,Yes
838,"(48.07, -96.18)",1500-1999,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
839,"(48.12, -123.5)",1000-1499,Electric-resistance,68,1990s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
840,"(48.12, -98.92)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,68,LED_CFL,avg,Yes
841,"(48.2, -103.65)",2500-3499,Non-electric,70,1970s,2,Single-Family Detached,Non-electric Water Heater,avg,68,LED_CFL,avg,Yes
842,"(48.22, -106.62)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
843,"(48.27, -101.28)",1000-1499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,68,LED_CFL,avg,Yes
844,"(48.308, -105.102)",1500-1999,Non-electric,67,1970s,3,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
845,"(48.32, -114.25)",1000-1499,Non-electric,68,2000s,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
846,"(48.35, -122.67)",1000-1499,Non-electric,68,1970s,2,Single-Family Detached,Electric Standard,avg,70,LED_CFL,avg,Yes
847,"(48.35, -122.667)",1000-1499,Non-electric,68,1990s,2,Single-Family Detached,Electric Standard,avg,72,LED_CFL,avg,Yes
848,"(48.42, -101.35)",2500-3499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,high,70,LED_CFL,avg,Yes
849,"(48.55, -109.77)",1000-1499,Non-electric,68,1960s,1,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
850,"(48.57, -93.4)",1500-1999,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
851,"(48.6, -112.37)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,75,LED_CFL,avg,Yes
852,"(48.6, -112.367)",<1000,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,avg,Yes
853,"(48.72, -94.6)",1000-1499,Electric-resistance,70,1960s,2,Single-Family Detached,Non-electric Water Heater,avg,68,LED_CFL,avg,No
854,"(48.78, -96.95)",1000-1499,Non-electric,55,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,70,LED_CFL,high,Yes
855,"(48.8, -122.53)",1500-1999,Non-electric,70,1990s,2,Single-Family Detached,Non-electric Water Heater,avg,72,LED_CFL,avg,Yes
856,"(48.85, -95.7)",2000-2499,Non-electric,70,<1940,2,Single-Family Detached,Non-electric Water Heater,avg,68,LED_CFL,avg,No
